,cell_type,young,aged,old,,cell_type,young,aged,old,,,,,,,,,
1,Astrocytes,203,66,20,,Astrocytes,20.92783505,5.92459605,7.299270073,,,,,,,,,
2,Endothelial cells,88,409,55,,Endothelial cells,9.072164948,36.71454219,20.0729927,,,,,,,,,
3,Neurons,60,74,67,,Neurons,6.18556701,6.642728905,24.45255474,,,,,,,,,
4,Oligodendrocyte precursor cells,44,52,8,,Oligodendrocyte precursor cells,4.536082474,4.667863555,2.919708029,,,,,,,,,
5,Oligodendrocytes,528,344,86,,Oligodendrocytes,54.43298969,30.87971275,31.38686131,,,,,,,,,
6,Vasculer smooth muscle cells,47,146,22,,Vasculer smooth muscle cells,4.845360825,13.1059246,8.02919708,,,,,,,,,
7,T cells,0,23,16,,T cells,0,2.064631957,5.839416058,,,,,,,,,
,Sum,970,1114,274,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s